id,cluster,hour,page,shares,reactions,phase
452,1,1/8/21 19:00,Pro-Life Éire,9,29,4
453,2,1/8/21 21:00,Australian Conservative News,4,16,4
454,4,1/8/21 21:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
455,0,1/8/21 21:00,Craig Kelly,1363,2986,4
456,3,1/8/21 21:00,Lelibrepenseur.org,119,180,4
457,1,1/8/21 21:00,Pro-Life Éire,9,29,4
458,2,1/8/21 23:00,Australian Conservative News,4,16,4
459,4,1/8/21 23:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
460,0,1/8/21 23:00,Craig Kelly,1363,2986,4
461,3,1/8/21 23:00,Lelibrepenseur.org,119,180,4
462,1,1/8/21 23:00,Pro-Life Éire,9,29,4
463,2,1/9/21 0:00,Australian Conservative News,4,16,4
464,4,1/9/21 0:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
465,0,1/9/21 0:00,Craig Kelly,1363,2986,4
466,3,1/9/21 0:00,Lelibrepenseur.org,119,180,4
467,1,1/9/21 0:00,Pro-Life Éire,9,29,4
468,2,1/9/21 1:00,Australian Conservative News,4,16,4
469,4,1/9/21 1:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
470,0,1/9/21 1:00,Craig Kelly,1363,2986,4
471,3,1/9/21 1:00,Lelibrepenseur.org,119,180,4
472,1,1/9/21 1:00,Pro-Life Éire,9,29,4
473,2,1/9/21 4:00,Australian Conservative News,4,16,4
474,4,1/9/21 4:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
475,0,1/9/21 4:00,Craig Kelly,1363,2986,4
476,3,1/9/21 4:00,Lelibrepenseur.org,119,180,4
477,1,1/9/21 4:00,Pro-Life Éire,9,29,4
478,2,1/9/21 7:00,Australian Conservative News,4,16,4
479,4,1/9/21 7:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
480,0,1/9/21 7:00,Craig Kelly,1363,2986,4
481,3,1/9/21 7:00,Lelibrepenseur.org,119,180,4
482,1,1/9/21 7:00,Pro-Life Éire,9,29,4
483,2,1/9/21 9:00,Australian Conservative News,4,16,4
484,4,1/9/21 9:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
485,0,1/9/21 9:00,Craig Kelly,1363,2986,4
486,3,1/9/21 9:00,Lelibrepenseur.org,119,182,4
487,1,1/9/21 9:00,Pro-Life Éire,9,29,4
488,2,1/9/21 11:00,Australian Conservative News,4,16,4
489,4,1/9/21 11:00,Constitutional Court Action Group - Human Rights Witness SA 2020,81,12,4
490,0,1/9/21 11:00,Craig Kelly,1363,2986,4
491,3,1/9/21 11:00,Lelibrepenseur.org,119,183,4
492,1,1/9/21 11:00,Pro-Life Éire,9,29,4
493,2,1/9/21 19:00,Australian Conservative News,4,16,4
494,4,1/9/21 19:00,Constitutional Court Action Group - Human Rights Witness SA 2020,83,16,4
495,0,1/9/21 19:00,Craig Kelly,1363,2986,4
496,3,1/9/21 19:00,Lelibrepenseur.org,119,183,4
497,1,1/9/21 19:00,Pro-Life Éire,9,29,4
498,2,1/10/21 0:00,Australian Conservative News,4,16,4
499,4,1/10/21 0:00,Constitutional Court Action Group - Human Rights Witness SA 2020,83,16,4
500,0,1/10/21 0:00,Craig Kelly,1363,2986,4
501,3,1/10/21 0:00,Lelibrepenseur.org,119,183,4
502,1,1/10/21 0:00,Pro-Life Éire,9,29,4
503,2,1/10/21 8:00,Australian Conservative News,4,16,4
504,4,1/10/21 8:00,Constitutional Court Action Group - Human Rights Witness SA 2020,83,16,4
505,0,1/10/21 8:00,Craig Kelly,1363,2986,4
506,3,1/10/21 8:00,Lelibrepenseur.org,119,183,4
507,1,1/10/21 8:00,Pro-Life Éire,9,29,4
508,2,1/10/21 9:00,Australian Conservative News,4,16,4
509,4,1/10/21 9:00,Constitutional Court Action Group - Human Rights Witness SA 2020,83,16,4
510,0,1/10/21 9:00,Craig Kelly,1363,2986,4
511,3,1/10/21 9:00,Lelibrepenseur.org,121,184,4
512,1,1/10/21 9:00,Pro-Life Éire,9,29,4
513,2,1/10/21 16:00,Australian Conservative News,4,16,4
514,4,1/10/21 16:00,Constitutional Court Action Group - Human Rights Witness SA 2020,83,16,4
515,0,1/10/21 16:00,Craig Kelly,1363,2986,4
516,3,1/10/21 16:00,Lelibrepenseur.org,121,184,4
517,1,1/10/21 16:00,Pro-Life Éire,9,29,4
518,2,1/10/21 18:00,Australian Conservative News,4,16,4
519,4,1/10/21 18:00,Constitutional Court Action Group - Human Rights Witness SA 2020,83,19,4
520,0,1/10/21 18:00,Craig Kelly,1363,2986,4
521,3,1/10/21 18:00,Lelibrepenseur.org,121,184,4
522,1,1/10/21 18:00,Pro-Life Éire,9,29,4
523,2,1/11/21 7:00,Australian Conservative News,4,16,4
524,4,1/11/21 7:00,Constitutional Court Action Group - Human Rights Witness SA 2020,83,19,4
525,0,1/11/21 7:00,Craig Kelly,1363,2986,4
526,3,1/11/21 7:00,Lelibrepenseur.org,121,184,4
527,1,1/11/21 7:00,Pro-Life Éire,9,29,4
528,2,1/11/21 8:00,Australian Conservative News,4,16,4
529,4,1/11/21 8:00,Constitutional Court Action Group - Human Rights Witness SA 2020,83,19,4
530,0,1/11/21 8:00,Craig Kelly,1363,2986,4
531,3,1/11/21 8:00,Lelibrepenseur.org,121,184,4
532,1,1/11/21 8:00,Pro-Life Éire,9,29,4
533,2,1/11/21 16:00,Australian Conservative News,4,16,4
534,4,1/11/21 16:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
535,0,1/11/21 16:00,Craig Kelly,1363,2986,4
536,3,1/11/21 16:00,Lelibrepenseur.org,121,184,4
537,1,1/11/21 16:00,Pro-Life Éire,9,29,4
538,2,1/12/21 4:00,Australian Conservative News,4,16,4
539,4,1/12/21 4:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
540,0,1/12/21 4:00,Craig Kelly,1363,2986,4
541,3,1/12/21 4:00,Lelibrepenseur.org,121,184,4
542,1,1/12/21 4:00,Pro-Life Éire,9,29,4
543,2,1/12/21 7:00,Australian Conservative News,4,16,4
544,4,1/12/21 7:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
545,0,1/12/21 7:00,Craig Kelly,1363,2986,4
546,3,1/12/21 7:00,Lelibrepenseur.org,121,184,4
547,1,1/12/21 7:00,Pro-Life Éire,9,29,4
548,2,1/12/21 14:00,Australian Conservative News,4,16,4
549,4,1/12/21 14:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
550,0,1/12/21 14:00,Craig Kelly,1363,2986,4
551,3,1/12/21 14:00,Lelibrepenseur.org,121,184,4
552,1,1/12/21 14:00,Pro-Life Éire,9,29,4
553,2,1/13/21 6:00,Australian Conservative News,4,16,4
554,4,1/13/21 6:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
555,0,1/13/21 6:00,Craig Kelly,1363,2986,4
556,3,1/13/21 6:00,Lelibrepenseur.org,121,184,4
557,1,1/13/21 6:00,Pro-Life Éire,9,29,4
558,2,1/13/21 8:00,Australian Conservative News,4,16,4
559,4,1/13/21 8:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
560,0,1/13/21 8:00,Craig Kelly,1363,2986,4
561,3,1/13/21 8:00,Lelibrepenseur.org,121,184,4
562,1,1/13/21 8:00,Pro-Life Éire,9,29,4
563,2,1/13/21 14:00,Australian Conservative News,4,16,4
564,4,1/13/21 14:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
565,0,1/13/21 14:00,Craig Kelly,1363,2986,4
566,3,1/13/21 14:00,Lelibrepenseur.org,121,184,4
567,1,1/13/21 14:00,Pro-Life Éire,9,29,4
568,2,1/13/21 17:00,Australian Conservative News,4,16,4
569,4,1/13/21 17:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
570,0,1/13/21 17:00,Craig Kelly,1363,2986,4
571,3,1/13/21 17:00,Lelibrepenseur.org,121,184,4
572,1,1/13/21 17:00,Pro-Life Éire,9,29,4
573,2,1/14/21 0:00,Australian Conservative News,4,16,4
574,4,1/14/21 0:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
575,0,1/14/21 0:00,Craig Kelly,1363,2986,4
576,3,1/14/21 0:00,Lelibrepenseur.org,121,184,4
577,1,1/14/21 0:00,Pro-Life Éire,9,29,4
578,2,1/14/21 4:00,Australian Conservative News,4,16,4
579,4,1/14/21 4:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
580,0,1/14/21 4:00,Craig Kelly,1363,2986,4
581,3,1/14/21 4:00,Lelibrepenseur.org,121,184,4
582,1,1/14/21 4:00,Pro-Life Éire,9,29,4
583,2,1/14/21 9:00,Australian Conservative News,4,16,4
584,4,1/14/21 9:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
585,0,1/14/21 9:00,Craig Kelly,1363,2986,4
586,3,1/14/21 9:00,Lelibrepenseur.org,121,184,4
587,1,1/14/21 9:00,Pro-Life Éire,9,29,4
588,2,1/14/21 13:00,Australian Conservative News,4,16,4
589,4,1/14/21 13:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
590,0,1/14/21 13:00,Craig Kelly,1363,2986,4
591,3,1/14/21 13:00,Lelibrepenseur.org,121,184,4
592,1,1/14/21 13:00,Pro-Life Éire,9,29,4
593,2,1/15/21 0:00,Australian Conservative News,4,16,4
594,4,1/15/21 0:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
595,0,1/15/21 0:00,Craig Kelly,1363,2986,4
596,3,1/15/21 0:00,Lelibrepenseur.org,121,184,4
597,1,1/15/21 0:00,Pro-Life Éire,9,29,4
598,2,1/15/21 1:00,Australian Conservative News,4,16,4
599,4,1/15/21 1:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
600,0,1/15/21 1:00,Craig Kelly,1363,2986,4
601,3,1/15/21 1:00,Lelibrepenseur.org,121,184,4
602,1,1/15/21 1:00,Pro-Life Éire,9,29,4
603,2,1/15/21 6:00,Australian Conservative News,4,16,4
604,4,1/15/21 6:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
605,0,1/15/21 6:00,Craig Kelly,1363,2986,4
606,3,1/15/21 6:00,Lelibrepenseur.org,121,184,4
607,1,1/15/21 6:00,Pro-Life Éire,9,29,4
608,2,1/15/21 10:00,Australian Conservative News,4,16,4
609,4,1/15/21 10:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
610,0,1/15/21 10:00,Craig Kelly,1363,2986,4
611,3,1/15/21 10:00,Lelibrepenseur.org,121,184,4
612,1,1/15/21 10:00,Pro-Life Éire,9,29,4
613,2,1/15/21 21:00,Australian Conservative News,4,16,4
614,4,1/15/21 21:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
615,0,1/15/21 21:00,Craig Kelly,1363,2986,4
616,3,1/15/21 21:00,Lelibrepenseur.org,121,184,4
617,1,1/15/21 21:00,Pro-Life Éire,9,29,4
618,2,1/16/21 4:00,Australian Conservative News,4,16,4
619,4,1/16/21 4:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
620,0,1/16/21 4:00,Craig Kelly,1363,2986,4
621,3,1/16/21 4:00,Lelibrepenseur.org,121,184,4
622,1,1/16/21 4:00,Pro-Life Éire,9,29,4
623,2,1/16/21 7:00,Australian Conservative News,4,16,4
624,4,1/16/21 7:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
625,0,1/16/21 7:00,Craig Kelly,1363,2986,4
626,3,1/16/21 7:00,Lelibrepenseur.org,121,184,4
627,1,1/16/21 7:00,Pro-Life Éire,9,29,4
628,2,1/16/21 19:00,Australian Conservative News,4,16,4
629,4,1/16/21 19:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
630,0,1/16/21 19:00,Craig Kelly,1363,2986,4
631,3,1/16/21 19:00,Lelibrepenseur.org,121,184,4
632,1,1/16/21 19:00,Pro-Life Éire,9,29,4
633,2,1/16/21 22:00,Australian Conservative News,4,16,4
634,4,1/16/21 22:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
635,0,1/16/21 22:00,Craig Kelly,1363,2986,4
636,3,1/16/21 22:00,Lelibrepenseur.org,121,184,4
637,1,1/16/21 22:00,Pro-Life Éire,9,29,4
638,2,1/17/21 2:00,Australian Conservative News,4,16,4
639,4,1/17/21 2:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
640,0,1/17/21 2:00,Craig Kelly,1363,2986,4
641,3,1/17/21 2:00,Lelibrepenseur.org,121,184,4
642,1,1/17/21 2:00,Pro-Life Éire,9,29,4
643,2,1/17/21 18:00,Australian Conservative News,4,16,4
644,4,1/17/21 18:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
645,0,1/17/21 18:00,Craig Kelly,1363,2986,4
646,3,1/17/21 18:00,Lelibrepenseur.org,121,184,4
647,1,1/17/21 18:00,Pro-Life Éire,9,29,4
648,2,1/17/21 21:00,Australian Conservative News,4,16,4
649,4,1/17/21 21:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
650,0,1/17/21 21:00,Craig Kelly,1363,2986,4
651,3,1/17/21 21:00,Lelibrepenseur.org,121,184,4
652,1,1/17/21 21:00,Pro-Life Éire,9,29,4
653,2,1/18/21 0:00,Australian Conservative News,4,16,4
654,4,1/18/21 0:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
655,0,1/18/21 0:00,Craig Kelly,1363,2986,4
656,3,1/18/21 0:00,Lelibrepenseur.org,121,184,4
657,1,1/18/21 0:00,Pro-Life Éire,9,29,4
658,2,1/18/21 4:00,Australian Conservative News,4,16,4
659,4,1/18/21 4:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
660,0,1/18/21 4:00,Craig Kelly,1363,2986,4
661,3,1/18/21 4:00,Lelibrepenseur.org,121,184,4
662,1,1/18/21 4:00,Pro-Life Éire,9,29,4
663,2,1/18/21 17:00,Australian Conservative News,4,16,4
664,4,1/18/21 17:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
665,0,1/18/21 17:00,Craig Kelly,1363,2986,4
666,3,1/18/21 17:00,Lelibrepenseur.org,121,184,4
667,1,1/18/21 17:00,Pro-Life Éire,9,29,4
668,2,1/18/21 18:00,Australian Conservative News,4,16,4
669,4,1/18/21 18:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
670,0,1/18/21 18:00,Craig Kelly,1363,2986,4
671,3,1/18/21 18:00,Lelibrepenseur.org,121,184,4
672,1,1/18/21 18:00,Pro-Life Éire,9,29,4
673,2,1/18/21 22:00,Australian Conservative News,4,16,4
674,4,1/18/21 22:00,Constitutional Court Action Group - Human Rights Witness SA 2020,87,21,4
675,0,1/18/21 22:00,Craig Kelly,1363,2986,4
676,3,1/18/21 22:00,Lelibrepenseur.org,121,184,4
677,1,1/18/21 22:00,Pro-Life Éire,9,29,4
678,2,1/19/21 2:00,Australian Conservative News,4,16,4
679,4,1/19/21 2:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
680,0,1/19/21 2:00,Craig Kelly,1363,2986,4
681,3,1/19/21 2:00,Lelibrepenseur.org,121,184,4
682,1,1/19/21 2:00,Pro-Life Éire,9,29,4
683,2,1/19/21 18:00,Australian Conservative News,4,16,4
684,4,1/19/21 18:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
685,0,1/19/21 18:00,Craig Kelly,1363,2986,4
686,3,1/19/21 18:00,Lelibrepenseur.org,121,184,4
687,1,1/19/21 18:00,Pro-Life Éire,9,29,4
688,2,1/19/21 22:00,Australian Conservative News,4,16,4
689,4,1/19/21 22:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
690,0,1/19/21 22:00,Craig Kelly,1363,2986,4
691,3,1/19/21 22:00,Lelibrepenseur.org,121,184,4
692,1,1/19/21 22:00,Pro-Life Éire,9,29,4
693,2,1/20/21 1:00,Australian Conservative News,4,16,4
694,4,1/20/21 1:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
695,0,1/20/21 1:00,Craig Kelly,1363,2986,4
696,3,1/20/21 1:00,Lelibrepenseur.org,121,184,4
697,1,1/20/21 1:00,Pro-Life Éire,9,29,4
698,2,1/20/21 23:00,Australian Conservative News,4,16,4
699,4,1/20/21 23:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
700,0,1/20/21 23:00,Craig Kelly,1363,2986,4
701,3,1/20/21 23:00,Lelibrepenseur.org,121,184,4
702,1,1/20/21 23:00,Pro-Life Éire,9,29,4
703,2,1/21/21 5:00,Australian Conservative News,4,16,4
704,4,1/21/21 5:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
705,0,1/21/21 5:00,Craig Kelly,1462,3022,4
706,3,1/21/21 5:00,Lelibrepenseur.org,121,184,4
707,1,1/21/21 5:00,Pro-Life Éire,9,29,4
708,2,1/21/21 21:00,Australian Conservative News,4,16,4
709,4,1/21/21 21:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
710,0,1/21/21 21:00,Craig Kelly,1462,3022,4
711,3,1/21/21 21:00,Lelibrepenseur.org,121,184,4
712,1,1/21/21 21:00,Pro-Life Éire,9,29,4
713,2,1/22/21 16:00,Australian Conservative News,4,16,4
714,4,1/22/21 16:00,Constitutional Court Action Group - Human Rights Witness SA 2020,86,21,4
715,0,1/22/21 16:00,Craig Kelly,1462,3022,4
716,3,1/22/21 16:00,Lelibrepenseur.org,120,184,4
717,1,1/22/21 16:00,Pro-Life Éire,9,29,4
718,2,1/22/21 19:00,Australian Conservative News,4,16,4
719,4,1/22/21 19:00,Constitutional Court Action Group - Human Rights Witness SA 2020,85,21,4
720,0,1/22/21 19:00,Craig Kelly,1462,3022,4
721,3,1/22/21 19:00,Lelibrepenseur.org,120,184,4
722,1,1/22/21 19:00,Pro-Life Éire,9,29,4
723,2,1/23/21 14:00,Australian Conservative News,4,16,4
724,4,1/23/21 14:00,Constitutional Court Action Group - Human Rights Witness SA 2020,85,21,4
725,0,1/23/21 14:00,Craig Kelly,1462,3022,4
726,3,1/23/21 14:00,Lelibrepenseur.org,120,184,4
727,1,1/23/21 14:00,Pro-Life Éire,9,29,4
728,2,1/23/21 17:00,Australian Conservative News,4,16,4
729,4,1/23/21 17:00,Constitutional Court Action Group - Human Rights Witness SA 2020,73,21,4
730,0,1/23/21 17:00,Craig Kelly,1462,3022,4
731,3,1/23/21 17:00,Lelibrepenseur.org,120,184,4
732,1,1/23/21 17:00,Pro-Life Éire,9,29,4
733,2,1/24/21 12:00,Australian Conservative News,4,16,4
734,4,1/24/21 12:00,Constitutional Court Action Group - Human Rights Witness SA 2020,73,21,4
735,0,1/24/21 12:00,Craig Kelly,1462,3022,4
736,3,1/24/21 12:00,Lelibrepenseur.org,120,184,4
737,1,1/24/21 12:00,Pro-Life Éire,9,29,4
738,2,1/24/21 15:00,Australian Conservative News,4,16,4
739,4,1/24/21 15:00,Constitutional Court Action Group - Human Rights Witness SA 2020,71,21,4
740,0,1/24/21 15:00,Craig Kelly,1462,3022,4
741,3,1/24/21 15:00,Lelibrepenseur.org,120,184,4
742,1,1/24/21 15:00,Pro-Life Éire,9,29,4
743,2,1/25/21 9:00,Australian Conservative News,4,16,4
744,4,1/25/21 9:00,Constitutional Court Action Group - Human Rights Witness SA 2020,71,21,4
745,0,1/25/21 9:00,Craig Kelly,1462,3022,4
746,3,1/25/21 9:00,Lelibrepenseur.org,120,184,4
747,1,1/25/21 9:00,Pro-Life Éire,9,29,4
748,2,1/25/21 13:00,Australian Conservative News,4,16,4
749,4,1/25/21 13:00,Constitutional Court Action Group - Human Rights Witness SA 2020,70,21,4
750,0,1/25/21 13:00,Craig Kelly,1462,3022,4
751,3,1/25/21 13:00,Lelibrepenseur.org,120,184,4
752,1,1/25/21 13:00,Pro-Life Éire,9,29,4
753,2,1/26/21 11:00,Australian Conservative News,4,16,4
754,4,1/26/21 11:00,Constitutional Court Action Group - Human Rights Witness SA 2020,69,21,4
755,0,1/26/21 11:00,Craig Kelly,1462,3022,4
756,3,1/26/21 11:00,Lelibrepenseur.org,120,184,4
757,1,1/26/21 11:00,Pro-Life Éire,9,29,4
758,2,2/7/21 12:00,Australian Conservative News,4,16,4
759,4,2/7/21 12:00,Constitutional Court Action Group - Human Rights Witness SA 2020,68,21,4
760,0,2/7/21 12:00,Craig Kelly,1462,3022,4
761,3,2/7/21 12:00,Lelibrepenseur.org,120,184,4
762,1,2/7/21 12:00,Pro-Life Éire,9,29,4
763,2,2/10/21 22:00,Australian Conservative News,4,16,4
764,4,2/10/21 22:00,Constitutional Court Action Group - Human Rights Witness SA 2020,68,21,4
765,0,2/10/21 22:00,Craig Kelly,1462,3022,4
766,3,2/10/21 22:00,Lelibrepenseur.org,117,184,4
767,1,2/10/21 22:00,Pro-Life Éire,8,29,4
