id,cluster,hour,page,shares,reactions,phase
88,1,12/31/20 21:00,Pro-Life Éire,9,27,2
89,2,12/31/20 22:00,Australian Conservative News,1,12,2
90,0,12/31/20 22:00,Craig Kelly,1163,2775,2
91,1,12/31/20 22:00,Pro-Life Éire,9,27,2
92,2,12/31/20 23:00,Australian Conservative News,1,12,2
93,0,12/31/20 23:00,Craig Kelly,1163,2775,2
94,1,12/31/20 23:00,Pro-Life Éire,9,27,2
95,2,1/1/21 0:00,Australian Conservative News,1,12,2
96,0,1/1/21 0:00,Craig Kelly,1178,2810,2
97,1,1/1/21 0:00,Pro-Life Éire,9,27,2
98,2,1/1/21 1:00,Australian Conservative News,2,12,2
99,0,1/1/21 1:00,Craig Kelly,1178,2810,2
100,1,1/1/21 1:00,Pro-Life Éire,9,27,2
101,2,1/1/21 2:00,Australian Conservative News,2,12,2
102,0,1/1/21 2:00,Craig Kelly,1198,2833,2
103,1,1/1/21 2:00,Pro-Life Éire,9,27,2
104,2,1/1/21 4:00,Australian Conservative News,2,12,2
105,0,1/1/21 4:00,Craig Kelly,1198,2833,2
106,1,1/1/21 4:00,Pro-Life Éire,9,27,2
107,2,1/1/21 5:00,Australian Conservative News,2,12,2
108,0,1/1/21 5:00,Craig Kelly,1201,2843,2
109,1,1/1/21 5:00,Pro-Life Éire,9,27,2
110,2,1/1/21 8:00,Australian Conservative News,2,12,2
111,0,1/1/21 8:00,Craig Kelly,1203,2855,2
112,1,1/1/21 8:00,Pro-Life Éire,9,27,2
113,2,1/1/21 9:00,Australian Conservative News,3,12,2
114,0,1/1/21 9:00,Craig Kelly,1203,2855,2
115,1,1/1/21 9:00,Pro-Life Éire,9,28,2
116,2,1/1/21 10:00,Australian Conservative News,3,12,2
117,0,1/1/21 10:00,Craig Kelly,1203,2855,2
118,1,1/1/21 10:00,Pro-Life Éire,9,28,2
119,2,1/1/21 11:00,Australian Conservative News,3,12,2
120,0,1/1/21 11:00,Craig Kelly,1213,2869,2
121,1,1/1/21 11:00,Pro-Life Éire,9,28,2
122,2,1/1/21 13:00,Australian Conservative News,3,12,2
123,0,1/1/21 13:00,Craig Kelly,1213,2869,2
124,1,1/1/21 13:00,Pro-Life Éire,9,28,2
125,2,1/1/21 14:00,Australian Conservative News,3,12,2
126,0,1/1/21 14:00,Craig Kelly,1224,2878,2
127,1,1/1/21 14:00,Pro-Life Éire,9,28,2
128,2,1/1/21 16:00,Australian Conservative News,3,12,2
129,0,1/1/21 16:00,Craig Kelly,1224,2878,2
130,1,1/1/21 16:00,Pro-Life Éire,9,28,2
131,2,1/1/21 17:00,Australian Conservative News,3,12,2
132,0,1/1/21 17:00,Craig Kelly,1224,2878,2
133,1,1/1/21 17:00,Pro-Life Éire,9,28,2
134,2,1/1/21 20:00,Australian Conservative News,3,12,2
135,0,1/1/21 20:00,Craig Kelly,1240,2889,2
136,1,1/1/21 20:00,Pro-Life Éire,9,28,2
137,2,1/1/21 22:00,Australian Conservative News,3,12,2
138,0,1/1/21 22:00,Craig Kelly,1240,2889,2
139,1,1/1/21 22:00,Pro-Life Éire,9,29,2
140,2,1/1/21 23:00,Australian Conservative News,3,14,2
141,0,1/1/21 23:00,Craig Kelly,1240,2889,2
142,1,1/1/21 23:00,Pro-Life Éire,9,29,2
143,2,1/2/21 2:00,Australian Conservative News,3,14,2
144,0,1/2/21 2:00,Craig Kelly,1265,2907,2
145,1,1/2/21 2:00,Pro-Life Éire,9,29,2
146,2,1/2/21 4:00,Australian Conservative News,3,14,2
147,0,1/2/21 4:00,Craig Kelly,1265,2907,2
148,1,1/2/21 4:00,Pro-Life Éire,9,29,2
149,2,1/2/21 10:00,Australian Conservative News,3,14,2
150,0,1/2/21 10:00,Craig Kelly,1265,2907,2
151,1,1/2/21 10:00,Pro-Life Éire,9,29,2
152,2,1/2/21 11:00,Australian Conservative News,3,15,2
153,0,1/2/21 11:00,Craig Kelly,1265,2907,2
154,1,1/2/21 11:00,Pro-Life Éire,9,29,2
155,2,1/2/21 16:00,Australian Conservative News,3,15,2
156,0,1/2/21 16:00,Craig Kelly,1265,2907,2
157,1,1/2/21 16:00,Pro-Life Éire,9,29,2
158,2,1/2/21 20:00,Australian Conservative News,3,15,2
159,0,1/2/21 20:00,Craig Kelly,1326,2947,2
160,1,1/2/21 20:00,Pro-Life Éire,9,29,2
161,2,1/2/21 22:00,Australian Conservative News,4,16,2
162,0,1/2/21 22:00,Craig Kelly,1326,2947,2
163,1,1/2/21 22:00,Pro-Life Éire,9,29,2
164,2,1/2/21 23:00,Australian Conservative News,4,16,2
165,0,1/2/21 23:00,Craig Kelly,1326,2947,2
166,1,1/2/21 23:00,Pro-Life Éire,9,29,2
167,2,1/3/21 0:00,Australian Conservative News,4,16,2
168,0,1/3/21 0:00,Craig Kelly,1337,2953,2
169,1,1/3/21 0:00,Pro-Life Éire,9,29,2
170,2,1/3/21 4:00,Australian Conservative News,4,16,2
171,0,1/3/21 4:00,Craig Kelly,1337,2953,2
172,1,1/3/21 4:00,Pro-Life Éire,9,29,2
173,2,1/3/21 5:00,Australian Conservative News,4,16,2
174,0,1/3/21 5:00,Craig Kelly,1337,2953,2
175,1,1/3/21 5:00,Pro-Life Éire,9,29,2
176,2,1/3/21 9:00,Australian Conservative News,4,16,2
177,0,1/3/21 9:00,Craig Kelly,1353,2975,2
178,1,1/3/21 9:00,Pro-Life Éire,9,29,2
179,2,1/3/21 10:00,Australian Conservative News,4,16,2
180,0,1/3/21 10:00,Craig Kelly,1353,2975,2
181,1,1/3/21 10:00,Pro-Life Éire,9,29,2
182,2,1/3/21 11:00,Australian Conservative News,4,16,2
183,0,1/3/21 11:00,Craig Kelly,1353,2975,2
184,1,1/3/21 11:00,Pro-Life Éire,9,29,2
185,2,1/3/21 12:00,Australian Conservative News,4,16,2
186,0,1/3/21 12:00,Craig Kelly,1363,2986,2
187,1,1/3/21 12:00,Pro-Life Éire,9,29,2
188,2,1/3/21 16:00,Australian Conservative News,4,16,2
189,0,1/3/21 16:00,Craig Kelly,1363,2986,2
190,1,1/3/21 16:00,Pro-Life Éire,9,29,2
191,2,1/3/21 18:00,Australian Conservative News,4,16,2
192,0,1/3/21 18:00,Craig Kelly,1363,2986,2
193,1,1/3/21 18:00,Pro-Life Éire,9,29,2
194,2,1/4/21 0:00,Australian Conservative News,4,16,2
195,0,1/4/21 0:00,Craig Kelly,1363,2986,2
196,1,1/4/21 0:00,Pro-Life Éire,9,29,2
197,2,1/4/21 12:00,Australian Conservative News,4,16,2
198,0,1/4/21 12:00,Craig Kelly,1363,2986,2
199,1,1/4/21 12:00,Pro-Life Éire,9,29,2
200,2,1/4/21 16:00,Australian Conservative News,4,16,2
201,0,1/4/21 16:00,Craig Kelly,1363,2986,2
202,1,1/4/21 16:00,Pro-Life Éire,9,29,2
203,2,1/5/21 0:00,Australian Conservative News,4,16,2
204,0,1/5/21 0:00,Craig Kelly,1363,2986,2
205,1,1/5/21 0:00,Pro-Life Éire,9,29,2
206,2,1/5/21 4:00,Australian Conservative News,4,16,2
207,0,1/5/21 4:00,Craig Kelly,1363,2986,2
208,1,1/5/21 4:00,Pro-Life Éire,9,29,2
209,2,1/5/21 11:00,Australian Conservative News,4,16,2
210,0,1/5/21 11:00,Craig Kelly,1363,2986,2
211,1,1/5/21 11:00,Pro-Life Éire,9,29,2
212,2,1/5/21 16:00,Australian Conservative News,4,16,3
213,0,1/5/21 16:00,Craig Kelly,1363,2986,3
214,1,1/5/21 16:00,Pro-Life Éire,9,29,3
215,2,1/5/21 17:00,Australian Conservative News,4,16,3
216,0,1/5/21 17:00,Craig Kelly,1363,2986,3
217,3,1/5/21 17:00,Lelibrepenseur.org,13,16,3
218,1,1/5/21 17:00,Pro-Life Éire,9,29,3
219,2,1/5/21 18:00,Australian Conservative News,4,16,3
